,beds,baths,size,lot_size,price
595,4,3.0,16128,7721.0,yes
596,2,2.0,16128,278784.0,yes
597,4,3.5,16128,1750.0,yes
598,2,4.5,16128,905.0,yes
599,3,3.5,16128,4094.0,yes
600,3,2.0,16128,3090.0,yes
601,3,2.5,16128,1389.0,yes
602,5,3.0,16128,5130.0,yes
603,2,2.5,16128,3871.059694427803,yes
604,3,2.0,16128,5000.0,yes
605,3,1.0,16128,4850.0,yes
606,4,2.0,16128,4002.0,yes
607,5,4.0,16128,5000.0,yes
608,2,2.0,16128,5365.0,yes
609,4,3.5,16128,4680.0,yes
610,2,2.0,16128,3871.059694427803,yes
611,3,2.5,16128,1391.0,yes
612,4,2.0,16128,7740.0,yes
613,4,3.0,16128,5000.0,yes
614,2,2.5,16128,5250.0,yes
615,2,1.5,16128,4800.0,yes
616,4,3.0,16128,7500.0,yes
617,4,2.5,16128,16552.8,yes
618,1,1.0,16128,3871.059694427803,yes
619,2,2.0,16128,3871.059694427803,yes
620,2,2.0,16128,8750.0,yes
621,2,2.0,16128,3871.059694427803,yes
622,5,2.0,16128,2950.0,yes
623,2,1.0,16128,4500.0,yes
624,5,2.5,16128,7680.0,yes
625,4,1.5,16128,5400.0,yes
626,4,2.5,16128,9300.0,yes
627,1,1.0,16128,3871.059694427803,yes
628,2,1.5,16128,23522.4,yes
629,3,1.0,16128,7242.0,yes
630,5,3.5,16128,4080.0,yes
631,1,1.0,16128,3871.059694427803,yes
632,5,1.5,16128,4000.0,yes
633,2,1.0,16128,5130.0,yes
634,3,2.0,16128,1238.0,yes
635,1,1.0,16128,3871.059694427803,yes
636,3,2.0,16128,5750.0,yes
637,2,5.5,16128,22651.2,yes
638,5,5.0,16128,8000.0,yes
639,4,3.5,16128,3821.0,yes
640,4,3.5,16128,3024.0,yes
641,2,2.0,16128,656.0,yes
642,2,2.0,16128,3871.059694427803,yes
643,2,3.5,16128,1412.0,yes
644,2,2.0,16128,3871.059694427803,yes
645,2,2.5,16128,176418.0,yes
646,2,1.0,16128,22651.2,yes
647,2,1.0,16128,6678.0,yes
648,2,2.0,16128,14374.800000000001,yes
649,4,3.0,16128,4182.0,yes
650,1,1.0,16128,3871.059694427803,yes
651,2,2.0,16128,3871.059694427803,yes
652,5,2.0,16128,5120.0,yes
653,3,2.5,16128,1436.0,yes
654,2,1.0,16128,5000.0,yes
655,3,3.5,16128,1099.0,yes
656,2,1.0,16128,4997.0,yes
657,2,2.5,16128,23522.4,yes
658,2,1.0,16128,12196.800000000001,yes
659,5,3.0,16128,5250.0,yes
660,5,4.0,16128,5200.0,yes
661,3,2.0,16128,8910.0,yes
662,2,1.5,16128,43560.0,yes
663,3,2.0,16128,5000.0,yes
664,2,1.0,16128,6693.0,yes
665,4,2.5,16128,3300.0,yes
666,3,2.5,16128,172933.2,yes
667,4,2.0,16128,6000.0,yes
668,5,3.5,16128,6800.0,yes
669,3,1.5,16128,6300.0,yes
670,3,1.0,16128,13503.6,yes
671,2,2.0,16128,87991.2,yes
672,4,3.0,16128,5023.0,yes
673,1,1.0,16128,3871.059694427803,yes
674,1,1.0,16128,3871.059694427803,yes
675,3,3.0,16128,2200.0,yes
676,2,2.0,16128,3060.0,yes
677,4,2.5,16128,5000.0,yes
678,2,2.0,16128,3871.059694427803,yes
679,2,2.0,16128,3871.059694427803,yes
680,3,2.5,16128,1270.0,yes
681,3,2.0,16128,8640.0,yes
682,2,2.0,16128,18295.2,yes
683,3,2.5,16128,1681.0,yes
684,1,1.0,16128,202989.6,yes
685,3,2.0,16128,6656.0,yes
686,3,2.0,16128,3800.0,yes
687,1,1.0,16128,43560.0,yes
688,3,4.0,16128,5563.0,yes
689,3,1.0,16128,4000.0,yes
690,4,2.0,16128,3250.0,yes
691,3,2.0,16128,1751.0,yes
692,3,3.0,16128,760.0,yes
693,14,5.0,16128,4968.0,yes
694,3,1.5,16128,4100.0,yes
695,4,3.0,16128,3000.0,yes
696,4,3.0,16128,6000.0,yes
697,3,2.5,16128,2466.0,yes
698,2,1.0,16128,4800.0,yes
699,4,1.0,16128,4845.0,yes
700,2,1.0,16128,5000.0,yes
701,3,2.0,16128,5056.0,yes
702,2,1.0,16128,4388.0,yes
703,1,1.0,16128,52707.6,yes
704,1,1.0,16128,6090.0,yes
705,3,3.0,16128,8370.0,yes
706,2,2.0,16128,87991.2,yes
707,1,1.0,16128,2500.0,yes
708,4,2.0,16128,5300.0,yes
709,3,2.5,16128,2656.0,yes
710,1,1.5,16128,3871.059694427803,yes
